Product Name,Product Number,Category Name,SubCategory Name,Designer ,Product Date,Catalogue Price,Retail Price,Color,Product Description,Primary Image Type ,Primary Image Color
D3073A,D3073A, Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,725,Multi,Cocktail Dress,product_front,Multi
D3090A,D3090A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Champagne:Black:Green,Cocktail Dress,product_front,Champagne
D3373A,D3373A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Green:Gunmetal:Black,Cocktail Dress,product_front,Gunmetal
D3869A,D3869A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/25/10,425,600,Black:Navy,Cocktail Dress,product_front,Navy
D3950A,D3950A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Black,Cocktail Dress,product_front,Black
D4114A,D4114A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Champagne:Silver:Taupe:Green,Cocktail Dress,product_front,Taupe
D4126A,D4126A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Champagne:Black,Cocktail Dress,product_front,Champagne
D4142A,D4142A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/24/10,525,785,Gunmetal,Cocktail Dress,product_front,Gunmetal
D4195A,D4195A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/24/10,450,675,Gunmetal,Cocktail Dress,product_front,Gunmetal
D4390A,D4390A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Black,Cocktail Dress,product_front,Black
D4414A,D4414A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/24/10,390,650,Black,Cocktail Dress,product_front,Black
D5211A,D5211A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Gunmetal,Cocktail Dress,product_front,Gunmetal
D5214A,D5214A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Black,Cocktail Dress,product_front,Black
D5215A,D5215A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Black,Cocktail Dress,product_front,Black
D5234A,D5234A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Charcoal,Cocktail Dress,product_front,Charcoal
D5274A,D5274A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Purple,Cocktail Dress,product_front,Purple
D5276A,D5276A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Black,Cocktail Dress,product_front,Black
D5277A,D5277A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,White,Cocktail Dress,product_front,White
D5281A,D5281A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Black,Cocktail Dress,product_front,Black
D5309A,D5309A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Blue,Cocktail Dress,product_front,Blue
D5342A,D5342A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Black,Cocktail Dress,product_front,Black
D5347A,D5347A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Blue,Cocktail Dress,product_front,Blue
D5353A,D5353A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Black,Cocktail Dress,product_front,Black
D5368A,D5368A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/24/10,450,625,Gunmetal,Cocktail Dress,product_front,Gunmetal
D5373A,D5373A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Black:White,Cocktail Dress,product_front,White
D5374A,D5374A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Green:Peach:Teal,Cocktail Dress,product_front,Peach
D5375A,D5375A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/24/10,460,650,Silver,Cocktail Dress,product_front,Silver
D5379A,D5379A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/24/10,375,550,Black,Cocktail Dress,product_front,Black
D5380A,D5380A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/24/10,350,550,Black,Cocktail Dress,product_front,Black
D5401A,D5401A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/24/10,450,750,Black,Cocktail Dress,product_front,Black
D5402A,D5402A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Silver,Cocktail Dress,product_front,Silver
D5405A,D5405A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,550,850,Gold:Green:Gunmetal:Silver,Cocktail Dress,product_front,Gold
D5408A,D5408A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,525,875,Silver,Cocktail Dress,product_front,Silver
D5409A,D5409A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/24/10,450,775,Gunmetal,Cocktail Dress,product_front,Gunmetal
D5416A,D5416A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/24/10,420,675,Gold,Cocktail Dress,product_front,Gold
D5422A,D5422A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/24/10,390,675,Cream,Cocktail Dress,product_front,Cream
D5427A,D5427A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Black:Blue:Teal:Champagne,Cocktail Dress,product_front,Champagne
D5428A,D5428A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/24/10,550,800,Silver,Cocktail Dress,product_front,Silver
D5431A,D5431A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Blue,Cocktail Dress,product_front,Blue
D5446A,D5446A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Cream:White,Cocktail Dress,product_front,Cream
D5448A,D5448A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Gunmetal:White,Cocktail Dress,product_front,Gunmetal
D5450A,D5450A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/24/10,425,675,Green,Cocktail Dress,product_front,Green
D5452A,D5452A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/24/10,550,875,Gold,Cocktail Dress,product_front,Gold
D5459A,D5459A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Multi,Cocktail Dress,product_front,Multi
D5463A,D5463A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/18/10,475,675,Black:Silver,Cocktail Dress,product_front,Silver
D5471A,D5471A,Womens Apparel,Cocktail Dresses,Basix Black Label,9/24/10,475,675,Black,Cocktail Dress,product_front,Black
