product number,color,SIZE,QTY,,,
D1111A,Silver,0,0,,,
D1111A,Silver,2,5,,,
D1111A,Silver,4,7,,,
D1111A,Silver,6,6,,,
D1111A,Silver,8,1,,,
D1111A,Silver,10,1,,,
D1111A,Silver,12,0,,,
D1111A,Silver,14,0,,,
D1111A,Silver,16,0,,,
,,,,,,
D3073A,Multi,0,0,,,
D3073A,Multi,2,0,,,
D3073A,Multi,4,0,,,
D3073A,Multi,6,0,,,
D3073A,Multi,8,0,,,
D3073A,Multi,10,4,,,
D3073A,Multi,12,1,,,
D3073A,Multi,14,1,,,
D3073A,Multi,16,0,,,
,,,,,,
D3090A,Black,0,0,,,
D3090A,Black,2,0,,,
D3090A,Black,4,0,,,
D3090A,Black,6,0,,,
D3090A,Black,8,1,,,
D3090A,Black,10,0,,,
D3090A,Black,12,0,,,
D3090A,Black,14,0,,,
D3090A,Black,16,0,,,
,,,,,,
D3090A,Champagne,0,0,,,
D3090A,Champagne,2,0,,,
D3090A,Champagne,4,4,,,
D3090A,Champagne,6,5,,,
D3090A,Champagne,8,3,,,
D3090A,Champagne,10,2,,,
D3090A,Champagne,12,0,,,
D3090A,Champagne,14,1,,,
D3090A,Champagne,16,0,,,
,,,,,,
D3090A,Green,0,0,,,
D3090A,Green,2,0,,,
D3090A,Green,4,2,,,
D3090A,Green,6,2,,,
D3090A,Green,8,0,,,
D3090A,Green,10,1,,,
D3090A,Green,12,1,,,
D3090A,Green,14,0,,,
D3090A,Green,16,0,,,
,,,,,,
D3208A,Pink,0,0,,,
D3208A,Pink,2,3,,,
D3208A,Pink,4,0,,,
D3208A,Pink,6,0,,,
D3208A,Pink,8,0,,,
D3208A,Pink,10,0,,,
D3208A,Pink,12,0,,,
D3208A,Pink,14,0,,,
D3208A,Pink,16,0,,,
,,,,,,
D3318A,White,0,2,,,
D3318A,White,2,2,,,
D3318A,White,4,4,,,
D3318A,White,6,3,,,
D3318A,White,8,0,,,
D3318A,White,10,1,,,
D3318A,White,12,0,,,
D3318A,White,14,0,,,
D3318A,White,16,0,,,
,,,,,,
D3373A,black,0,5,,,
D3373A,black,2,13,,,
D3373A,black,4,11,,,
D3373A,black,6,13,,,
D3373A,black,8,9,,,
D3373A,black,10,0,,,
D3373A,black,12,0,,,
D3373A,black,14,0,,,
D3373A,black,16,,,,
D3373A,black,,,,,
,,,,,,
D3373A,Green,0,0,,,
D3373A,Green,2,0,,,
D3373A,Green,4,1,,,
D3373A,Green,6,1,,,
D3373A,Green,8,1,,,
D3373A,Green,10,1,,,
D3373A,Green,12,0,,,
D3373A,Green,14,0,,,
D3373A,Green,16,0,,,
,,,,,,
D3373A,Gunmetal,0,0,,,
D3373A,Gunmetal,2,0,,,
D3373A,Gunmetal,4,1,,,
D3373A,Gunmetal,6,0,,,
D3373A,Gunmetal,8,0,,,
D3373A,Gunmetal,10,0,,,
D3373A,Gunmetal,12,0,,,
D3373A,Gunmetal,14,0,,,
D3373A,Gunmetal,16,0,,,
,,,,,,
D3508A,Black,0,0,,,
D3508A,Black,2,1,,,
D3508A,Black,4,1,,,
D3508A,Black,6,1,,,
D3508A,Black,8,1,,,
D3508A,Black,10,0,,,
D3508A,Black,12,0,,,
D3508A,Black,14,0,,,
D3508A,Black,16,0,,,
,,,,,,
D3546A,White,0,0,,,
D3546A,White,2,0,,,
D3546A,White,4,1,,,
D3546A,White,6,0,,,
D3546A,White,8,0,,,
D3546A,White,10,0,,,
D3546A,White,12,0,,,
D3546A,White,14,0,,,
D3546A,White,16,0,,,
,,,,,,
D3592A,white,0,0,,,
D3592A,white,2,1,,,
D3592A,white,4,1,,,
D3592A,white,6,1,,,
D3592A,white,8,1,,,
D3592A,white,10,0,,,
D3592A,white,12,0,,,
D3592A,white,14,0,,,
D3592A,white,16,0,,,
,,,,,,
D3609A,black,0,0,,,
D3609A,black,2,4,,,
D3609A,black,4,1,,,
D3609A,black,6,1,,,
D3609A,black,8,0,,,
D3609A,black,10,0,,,
D3609A,black,12,0,,,
D3609A,black,14,0,,,
D3609A,black,16,0,,,
,,,,,,
D3616A,Cream,0,0,,,
D3616A,Cream,2,3,,,
D3616A,Cream,4,2,,,
D3616A,Cream,6,2,,,
D3616A,Cream,8,1,,,
D3616A,Cream,10,0,,,
D3616A,Cream,12,0,,,
D3616A,Cream,14,0,,,
D3616A,Cream,16,0,,,
,,,,,,
D3653A,black,0,0,,,
D3653A,black,2,4,,,
D3653A,black,4,1,,,
D3653A,black,6,3,,,
D3653A,black,8,3,,,
D3653A,black,10,1,,,
D3653A,black,12,1,,,
D3653A,black,14,0,,,
D3653A,black,16,0,,,
,,,,,,
D3654A,navy,0,0,,,
D3654A,navy,2,0,,,
D3654A,navy,4,0,,,
D3654A,navy,6,4,,,
D3654A,navy,8,1,,,
D3654A,navy,10,2,,,
D3654A,navy,12,3,,,
D3654A,navy,14,1,,,
D3654A,navy,16,0,,,
,,,,,,
D3811A,Black,0,0,,,
D3811A,Black,2,0,,,
D3811A,Black,4,0,,,
D3811A,Black,6,3,,,
D3811A,Black,8,3,,,
D3811A,Black,10,4,,,
D3811A,Black,12,1,,,
D3811A,Black,14,1,,,
D3811A,Black,16,0,,,
,,,,,,
D3865A,black,0,0,,,
D3865A,black,2,0,,,
D3865A,black,4,2,,,
D3865A,black,6,5,,,
D3865A,black,8,6,,,
D3865A,black,10,5,,,
