Item Name,Item Description,Department Name,Custom Field 3,Vendor Name,Custom Field 1,Regular Price,MSRP,Attribute,Custom Field 2,Size,Qty 1,On Order Qty,Custom Field 4,Custom Field 5,END
PV30343W-CL,PV30343W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,Full Product Description ,,
PV30329W,PV30329W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV30326W,PV30326W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV30212W,PV30212W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV30209W-CL,PV30209W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV30038W-CL,PV30038W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV25889W-CL,PV25889W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20702W,PV20702W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20686-BLK,PV20686-BLK,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20673W,PV20673W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20671W,PV20671W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20664W,PV20664W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20663W,PV20663W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20662W,PV20662W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20660W-2T,PV20660W-2T,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20659W,PV20659W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20658W-2T,PV20658W-2T,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20651W,PV20651W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20627W-CL,PV20627W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20625W-CL,PV20625W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20602W,PV20602W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20571W,PV20571W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20559W-CL,PV20559W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20546W-CT,PV20546W-CT,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20546W-CL,PV20546W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20537W,PV20537W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20534W,PV20534W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20530W-CL,PV20530W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20525W,PV20525W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20500W,PV20500W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20494W-CL,PV20494W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20493W-CL,PV20493W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20492W-CL,PV20492W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20491W-CL,PV20491W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20487W,PV20487W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20480W,PV20480W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20475W,PV20475W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20470W,PV20470W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20449W,PV20449W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20434W,PV20434W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20432W-CL,PV20432W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
