"Item Name","Item Description","Department Name","Custom Field 3","Vendor Name","Custom Field 1","Regular Price","MSRP","Attribute","Custom Field 2","Size","Qty 1","On Order Qty","Custom Field 4","Custom Field 5","END"
"MAJ100","MAJ100","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,"Full Product Description ",,
"MAJ101","MAJ101","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ102","MAJ102","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ103","MAJ103","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ104","MAJ104","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ105","MAJ105","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ106","MAJ106","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ107","MAJ107","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ108","MAJ108","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ109","MAJ109","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ110","MAJ110","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ111","MAJ111","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ112","MAJ112","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ113","MAJ113","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ114","MAJ114","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ115","MAJ115","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ116","MAJ116","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ117","MAJ117","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ118","MAJ118","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ119","MAJ119","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ120","MAJ120","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ121","MAJ121","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ122","MAJ122","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ123","MAJ123","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ124","MAJ124","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ125","MAJ125","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ126","MAJ126","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ127","MAJ127","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ128","MAJ128","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ129","MAJ129","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
"MAJ130","MAJ130","Majestic Collections","Jewelry and Accessories","System","1/20/2011",0,0,"as.shown","costume jewelry","1",2,4,,,
