Item Name,Item Description,Department Name,Custom Field 3,Custom Field 1,Regular Price,MSRP,PIMG_ID,Custom Field 2,Size,Qty 1,On Order Qty,Attribute,Custom Field 4,Custom Field 5,END
SM825-1,SM825-1,Issue New York,Womens Apparel,1/7/2011,405,510,,Cocktail Dresses,0,10,0,black,,,
SM825-1,SM825-1,Issue New York,Womens Apparel,1/7/2011,405,510,,Cocktail Dresses,2,10,0,black,,,
SM825-1,SM825-1,Issue New York,Womens Apparel,1/7/2011,405,510,,Cocktail Dresses,4,10,0,black,,,
SM825-1,SM825-1,Issue New York,Womens Apparel,1/7/2011,405,510,,Cocktail Dresses,6,10,0,black,,,
SM825-1,SM825-1,Issue New York,Womens Apparel,1/7/2011,405,510,,Cocktail Dresses,8,10,0,black,,,
SM825-1,SM825-1,Issue New York,Womens Apparel,1/7/2011,405,510,,Cocktail Dresses,10,10,0,black,,,
SM825-1,SM825-1,Issue New York,Womens Apparel,1/7/2011,405,510,,Cocktail Dresses,12,10,0,black,,,
SM825-1,SM825-1,Issue New York,Womens Apparel,1/7/2011,405,510,,Cocktail Dresses,14,10,0,black,,,
SM825-1,SM825-1,Issue New York,Womens Apparel,1/7/2011,405,510,,Cocktail Dresses,0,10,0,grey,,,
SM825-1,SM825-1,Issue New York,Womens Apparel,1/7/2011,405,510,,Cocktail Dresses,2,10,0,grey,,,
SM825-1,SM825-1,Issue New York,Womens Apparel,1/7/2011,405,510,,Cocktail Dresses,4,10,0,grey,,,
SM825-1,SM825-1,Issue New York,Womens Apparel,1/7/2011,405,510,,Cocktail Dresses,6,10,0,grey,,,
SM825-1,SM825-1,Issue New York,Womens Apparel,1/7/2011,405,510,,Cocktail Dresses,8,10,0,grey,,,
SM825-1,SM825-1,Issue New York,Womens Apparel,1/7/2011,405,510,,Cocktail Dresses,10,10,0,grey,,,
SM825-1,SM825-1,Issue New York,Womens Apparel,1/7/2011,405,510,,Cocktail Dresses,12,10,0,grey,,,
SM825-1,SM825-1,Issue New York,Womens Apparel,1/7/2011,405,510,,Cocktail Dresses,14,10,0,grey,,,
2105001-1,2105001-1,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,2,10,0,black,,,
2105001-1,2105001-1,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,4,10,0,black,,,
2105001-1,2105001-1,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,6,10,0,black,,,
2105001-1,2105001-1,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,8,10,0,black,,,
2105001-1,2105001-1,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,10,10,0,black,,,
2105001-1,2105001-1,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,12,10,0,black,,,
2105001-1,2105001-1,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,14,10,0,black,,,
2105001-1,2105001-1,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,2,10,0,ivory,,,
2105001-1,2105001-1,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,4,10,0,ivory,,,
2105001-1,2105001-1,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,6,10,0,ivory,,,
2105001-1,2105001-1,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,8,10,0,ivory,,,
2105001-1,2105001-1,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,10,10,0,ivory,,,
2105001-1,2105001-1,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,12,10,0,ivory,,,
2105001-1,2105001-1,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,14,10,0,ivory,,,
SA2271,SA2271,Issue New York,Womens Apparel,1/7/2011,350,465,,Cocktail Dresses,2,10,0,red,,,
SA2271,SA2271,Issue New York,Womens Apparel,1/7/2011,350,465,,Cocktail Dresses,4,10,0,red,,,
SA2271,SA2271,Issue New York,Womens Apparel,1/7/2011,350,465,,Cocktail Dresses,6,10,0,red,,,
SA2271,SA2271,Issue New York,Womens Apparel,1/7/2011,350,465,,Cocktail Dresses,8,10,0,red,,,
SA2271,SA2271,Issue New York,Womens Apparel,1/7/2011,350,465,,Cocktail Dresses,10,10,0,red,,,
SA2271,SA2271,Issue New York,Womens Apparel,1/7/2011,350,465,,Cocktail Dresses,12,10,0,red,,,
SA2271,SA2271,Issue New York,Womens Apparel,1/7/2011,350,465,,Cocktail Dresses,14,10,0,red,,,
SA2271,SA2271,Issue New York,Womens Apparel,1/7/2011,350,465,,Cocktail Dresses,2,10,0,ivory,,,
SA2271,SA2271,Issue New York,Womens Apparel,1/7/2011,350,465,,Cocktail Dresses,4,10,0,ivory,,,
SA2271,SA2271,Issue New York,Womens Apparel,1/7/2011,350,465,,Cocktail Dresses,6,10,0,ivory,,,
SA2271,SA2271,Issue New York,Womens Apparel,1/7/2011,350,465,,Cocktail Dresses,8,10,0,ivory,,,
SA2271,SA2271,Issue New York,Womens Apparel,1/7/2011,350,465,,Cocktail Dresses,10,10,0,ivory,,,
SA2271,SA2271,Issue New York,Womens Apparel,1/7/2011,350,465,,Cocktail Dresses,12,10,0,ivory,,,
SA2271,SA2271,Issue New York,Womens Apparel,1/7/2011,350,465,,Cocktail Dresses,14,10,0,ivory,,,
SA2271,SA2271,Issue New York,Womens Apparel,1/7/2011,350,465,,Cocktail Dresses,2,10,0,black,,,
SA2271,SA2271,Issue New York,Womens Apparel,1/7/2011,350,465,,Cocktail Dresses,4,10,0,black,,,
SA2271,SA2271,Issue New York,Womens Apparel,1/7/2011,350,465,,Cocktail Dresses,6,10,0,black,,,
SA2271,SA2271,Issue New York,Womens Apparel,1/7/2011,350,465,,Cocktail Dresses,8,10,0,black,,,
SA2271,SA2271,Issue New York,Womens Apparel,1/7/2011,350,465,,Cocktail Dresses,10,10,0,black,,,
SA2271,SA2271,Issue New York,Womens Apparel,1/7/2011,350,465,,Cocktail Dresses,12,10,0,black,,,
SA2271,SA2271,Issue New York,Womens Apparel,1/7/2011,350,465,,Cocktail Dresses,14,10,0,black,,,
SM800,SM800,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,0,10,0,as.shown,,,
SM800,SM800,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,2,10,0,as.shown,,,
SM800,SM800,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,4,10,0,as.shown,,,
SM800,SM800,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,6,10,0,as.shown,,,
SM800,SM800,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,8,10,0,as.shown,,,
SM800,SM800,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,10,10,0,as.shown,,,
SM800,SM800,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,12,10,0,as.shown,,,
SM800,SM800,Issue New York,Womens Apparel,1/7/2011,450,575,,Cocktail Dresses,14,10,0,as.shown,,,
D708-2,D708-2,Issue New York,Womens Apparel,1/7/2011,310,405,,Cocktail Dresses,2,10,0,as.shown,,,
D708-2,D708-2,Issue New York,Womens Apparel,1/7/2011,310,405,,Cocktail Dresses,4,10,0,as.shown,,,
D708-2,D708-2,Issue New York,Womens Apparel,1/7/2011,310,405,,Cocktail Dresses,6,10,0,as.shown,,,
D708-2,D708-2,Issue New York,Womens Apparel,1/7/2011,310,405,,Cocktail Dresses,8,10,0,as.shown,,,
D708-2,D708-2,Issue New York,Womens Apparel,1/7/2011,310,405,,Cocktail Dresses,10,10,0,as.shown,,,
D708-2,D708-2,Issue New York,Womens Apparel,1/7/2011,310,405,,Cocktail Dresses,12,10,0,as.shown,,,
DF134,DF134,Issue New York,Womens Apparel,1/7/2011,290,375,,Cocktail Dresses,2,10,0,paprika,,,
DF134,DF134,Issue New York,Womens Apparel,1/7/2011,290,375,,Cocktail Dresses,4,10,0,paprika,,,
DF134,DF134,Issue New York,Womens Apparel,1/7/2011,290,375,,Cocktail Dresses,6,10,0,paprika,,,
DF134,DF134,Issue New York,Womens Apparel,1/7/2011,290,375,,Cocktail Dresses,8,10,0,paprika,,,
DF134,DF134,Issue New York,Womens Apparel,1/7/2011,290,375,,Cocktail Dresses,10,10,0,paprika,,,
DF134,DF134,Issue New York,Womens Apparel,1/7/2011,290,375,,Cocktail Dresses,12,10,0,paprika,,,
DF134,DF134,Issue New York,Womens Apparel,1/7/2011,290,375,,Cocktail Dresses,2,10,0,chanel.blue,,,
DF134,DF134,Issue New York,Womens Apparel,1/7/2011,290,375,,Cocktail Dresses,4,10,0,chanel.blue,,,
DF134,DF134,Issue New York,Womens Apparel,1/7/2011,290,375,,Cocktail Dresses,6,10,0,chanel.blue,,,
DF134,DF134,Issue New York,Womens Apparel,1/7/2011,290,375,,Cocktail Dresses,8,10,0,chanel.blue,,,
DF134,DF134,Issue New York,Womens Apparel,1/7/2011,290,375,,Cocktail Dresses,10,10,0,chanel.blue,,,
