Product Name,Product Number,Category Name,SubCategory Name,Designer,Product Date,Catalogue Price,Retail Price,Wholesale Price,Product Description,Primary Image Color,Colors,Styles,Events,New Arrival,Clearance,Pre Order,Unpublish,Materials,Trends
Animal Print Bangle,1099B,Accessories,Bracelets,Alexa Starr,2011-08-23,25,49.99,15,Animal Print Bangle Covered in Leather,ANIMAL,ANIMAL,LEATHER,,,yes,,,,
1123BS,1123BS,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Cuff,SILVER,SILVER,METALLIC,,,,,,,
1302B,1302B,Accessories,Bracelets,Alexa Starr,2011-08-23,25,0,0,Bracelet,BROWN,BROWN,WOOD,,,,,,,
1398B,1398B,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Cuff,DARKBROWN,LTBEIGE-DARKBROWN-MEDIUMBROWN,WOOD,,,,,,,
1824B,1824B,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Bracelet,SILVER,SILVER,STONE,,,,,,,
2169B,2169B,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Bracelet,TURQUOISE,BLUE,WOOD,,,,,,,
2288B,2288B,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Bracelet,GREEN ,GREEN,STONE,,,,,,,
3725B,3725B,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Bracelet,,COPPER,STONE,,,,,Y,,
3726B,3726B,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Bracelet,GREEN ,GREEN,STONE,,,,,,,
3852BG,3852BG,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Cuff,GOLD,GOLD,METALLIC,,,,,,,
3853BG,3853BG,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Cuff,GOLD,GOLD,METALLIC,,,,,,,
4228B,4228B,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Bracelet,SILVER,SILVER,METALLIC,,,,,,,
4228BG,4228BG,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Bracelet,GOLD,GOLD,METALLIC,,,,,,,
4229BG,4229BG,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Bracelet,GOLD,GOLD,METALLIC,,,,,,,
4229BS,4229BS,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Bracelet,SILVER,SILVER,METALLIC,,,,,,,
4263B,4263B,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Bracelet,BROWN,BROWN,STONE,,,,,,,
4264B,4264B,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Bracelet,BROWN,BROWN,STONE,,,,,,,
4273B,4273B,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Bracelet,,YELLOW,STONE,,,,,,,
4332B,4332B,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Bracelet,ANIMAL,ANIMAL,STONE,,,,,,,
4333B,4333B,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Bracelet,ANIMAL,ANIMAL,STONE,,,,,,,
8141B,8141B,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Bracelet,BROWN,BROWN,STONE,,,,,,,
8143B,8143B,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Bracelet,,BROWN,WOOD,,,,,,,
8413B,8413B,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Bracelet,LTBEIGE,BROWN,WOOD,,,,,,,
8409B,8409B,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Bracelet,BROWN,BROWN,STONE,,,,,,,
9729B,9729B,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Bracelet,PINK,PINK,ACRYLIC,,,,,,,
9731B,9731B,Accessories,Bracelets,Alexa Starr,2011-08-23,0,0,0,Bracelet,BROWN,BROWN,STONE,,,,,,,
