Product Name,Product Number,Category Name,SubCategory Name,Designer,Product Date,Catalogue Price,Retail Price,Wholesale Price,Product Description,Primary Image Color,Colors,Styles,Events,New Arrival,Clearance,Pre Order,Unpublish,Materials,Trends
Matte Jersey Dress With Sequins,D5707A,Womens Apparel,Cocktail Dresses ,Basix Black Label,1969-12-31,395,0,195,Matte Jersey Cocktail Dress With Crystals on Hem and Collar,BLACK,BLACK,CRYSTAL-SEQUINED-SLEEVELESS,Christmas-Formal-New Year-Party-Valentines,,,,,,
Beaded Strapless Cocktail Dress,D5734A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,550,0,225,Strapless Cocktail Dress,TAUPE,TAUPE,SEQUINED-SHEATH-STRAPLESS,Christmas-Formal-New Year-Party-Valentines-Wedding,,,,,,
Beaded and Crystal Cocktail Dress,D5738A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,695,0,375,Beaded Sequined and Crystal Cocktail Dress,BLACK,Black-PINK-GUNMETAL-GREEN,BEADED-CRYSTAL-HALTER-NUDE-SEQUINED-SLEEVELESS,Christmas-Formal-Graduation-Homecoming-New Year-Party-Prom-Valentines-Wedding,,,,,,
Sexy Cocktail Dress,D5662A,Womens Apparel,Cocktail Dresses ,Basix Black Label,1969-12-31,685,0,345,Basix Cocktail Dress with crystals,NUDE,BLACK-NUDE-GUNMETAL-NUDE NAVY,BEADED-BEADED-LACE-NUDE-PLUNGE-SEQUINED-V NECK,,no,no,,,,
Nude Eyelet Cocktail Dress,D5692A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,595,0,295,one shoulder cocktail dress with nude eyelets,BLACK SILVER,BLACK SILVER-BLUE-GOLD-SILVER,1 SHOULDER-METALLIC-NUDE-SEQUINED-SEQUINED-V NECK,Christmas-Formal-Graduation-Homecoming-New Year-Party-Prom-Valentines-Wedding,,,,,,
Tulle Bell Cocktail Dress,D5653A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,345,0,175,Tulle Strapless Bell Cocktail Dress With Flower on Waist,BLUE,PEACH-PINK-BLUE,BEADED-FLARE-SEQUINED-SLEEVELESS-STRAPLESS-TULLE,Christmas-Homecoming-New Year-Party-Prom,,,,Y,,
Sequined Panel Dress,D5652A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,595,0,295,Sequined panel dress with pleated shoulder pads on sleeve,BLACK,RED-BLACK,BEADED-SEQUINED-SHORT SLEEVE-STRAPLESS-V NECK-TULLE,Christmas-Formal-New Year-Party-Valentines,,,,Y,,
Tulle Flair Dress With Inverse Piping On Bustier,D5602A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,395,0,195,Tulle Flare Cocktail Dress Inverse Piping On Torso and Bustier,GREEN ,GREEN,1 SHOULDER-BEADED-FLARE-TULLE-V NECK-TULLE,Christmas-Formal-New Year-Party-Valentines,,,,,,
Lace Covered Dress,D5593A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,395,0,195,Lace Covered Short  Dress,BLACK,BLACK,LACE-NUDE-SHORT SLEEVE-TULLE-V NECK-TULLE,Christmas-Formal-New Year-Party-Valentines,,,,,,
D5579A,D5579A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2011-10-18,495,0,250,Cocktail Dress,GOLD,GOLD,BEADED-MINI-SEQUINED-SLEEVELESS-STRAPLESS-TULLE,Christmas-New Year-Party-Prom-Valentines-Wedding,,,,,,
