Product Name,Product Number,Category Name,SubCategory Name,Designer,Product Date,Catalogue Price,Retail Price,Wholesale Price,Product Description,Primary Image Color,Colors,Styles,Events,New Arrival,Clearance,Pre Order,Unpublish,Materials,Trends
D4330L,D4330L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,395,0,245,Long dress,BLACK,BLACK,CRYSTAL-SEQUINED-SLEEVELESS,,,,,Y,,
D3128L,D3128L,Womens Apparel,Evening Dresses,Basix Black Label,2011-12-15,275,0,0,Long dress,LILAC,LILAC,Sleeveless-Spaghetti Str.-V Neck,,,yes,,Y,,
Evening Dress with sequin accents ,D3031L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,265,425,195,Evening Dress with sequin details and flare bottom ,BLACK,BLACK,SEQUINED-SLEEVELESS-V NECK,,,yes,,,,
D5794L,D5794L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,745,0,370,Long dress,LIME,LIME-GREEN ,SEQUINED-SLEEVELESS,,no,no,,,,
D5824L,D5824L,Womens Apparel,Evening Dresses,Basix Black Label,2011-12-27,895,0,445,Long dress,SILVER,SILVER-SILVER GUNMETAL,SHIMMER-SLEEVELESS-V NECK,,no,no,,,,
D5855L,D5855L,Womens Apparel,Evening Dresses,Basix Black Label,2011-12-27,895,0,445,Long dress,BLUE,BLUE,BEADED-CRYSTAL-SEQUINED-SLEEVELESS-SPAGHETTI STR.-V NECK,,yes,,,,,
D5883L,D5883L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,550,0,275,Long dress,BLACK,BLACK-BRONZE,METALLIC-SEQUINED-SLEEVELESS,,yes,no,,,,
D5745L,D5745L,Womens Apparel,Evening Dresses,Basix Black Label,2011-09-25,495,0,245,Evening Dress,BLACK,BLACK,BEADED-SLEEVELESS-SPAGHETTI STR.-V NECK,Formal,,,,,,
D6019L,D6019L,Womens Apparel,Evening Dresses,Basix Black Label,,895,0,445,Evening Dress,BLACK,BLACK,BEADED-FLOWER-SEQUINED-SLEEVELESS-V NECK,Formal,,,,,,
Multi Colored Evening Dress,D3073L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,1290,0,675,Multi Colored Evening Dress With Sequins and Beads Arranged in an intricate motif - Custom Order Only 
10 Weeks to delivery,MULTI,MULTI,BEADED-SLEEVELESS-SPAGHETTI STR.-V NECK,,,,,,,
D5734L,D5734L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,895,0,445,Evening Dress,CHAMPAGNE,CHAMPAGNE,FLARE-SEQUINED-SLEEVELESS-STRAPLESS,Formal,,,,,,
D5430L,D5430L,Womens Apparel,Evening Dresses,Basix Black Label,2011-09-25,500,0,250,Evening Dress,BLUE,RED-BLUE,BEADED-FLARE-SEQUINED-SLEEVELESS-SPAGHETTI STR.,Formal,,,,Y,,
D5439L,D5439L,Womens Apparel,Evening Dresses,Basix Black Label,2011-09-25,550,0,275,Evening Dress,NUDE,GUNMETAL-NUDE,1 SHOULDER-FLARE-SEQUINED-SLEEVELESS-SPAGHETTI STR.,Formal,,,,Y,,
D5347L,D5347L,Womens Apparel,Evening Dresses,Basix Black Label,2011-09-25,390,0,195,Evening Dress,BLUE,BLUE,FLARE-SEQUINED-SLEEVELESS-SPAGHETTI STR.-STRAPLESS,Formal,,,,Y,,
D5327L,D5327L,Womens Apparel,Evening Dresses,Basix Black Label,2011-09-25,690,0,345,Evening Dress,RED,RED,FLARE-SEQUINED-SLEEVELESS-SPAGHETTI STR.-STRAPLESS,Formal,,,,Y,,
D5316L,D5316L,Womens Apparel,Evening Dresses,Basix Black Label,2011-09-25,650,0,325,Evening Dress,PURPLE,PURPLE,FLARE-SEQUINED-SLEEVELESS-SPAGHETTI STR.-STRAPLESS,Formal,,,,,,
D5301L,D5301L,Womens Apparel,Evening Dresses,Basix Black Label,2011-09-25,1390,0,695,Evening Dress,BLACK,BLUE-BLACK,BEADED-FLARE-SEQUINED-SLEEVELESS-SPAGHETTI STR.,Formal,,,,,,
D5268L,D5268L,Womens Apparel,Evening Dresses,Basix Black Label,2011-09-25,550,0,275,Evening Dress,GREEN ,GREEN,FLARE-SEQUINED-SLEEVELESS-SPAGHETTI STR.-STRAPLESS,Formal,,,,Y,,
