Product Name,Product Number,Category Name,SubCategory Name,Designer,Product Date,Catalogue Price,Retail Price,Wholesale Price,Product Description,Primary Image Color,Colors,Styles,Events,New Arrival,Clearance,Pre Order,Unpublish,Materials,Trends
SH4126,SH4126,Womens Apparel,Shorts,Basix Black Label,2011-12-11,290,0,145,SH4126,GOLD,GOLD-BLACK,SEQUINED,,yes,,,,,
Sequined Shorts,SH4114,Womens Apparel,Shorts,Basix Black Label,1969-12-31,290,0,145,Sequined Shorts,TAUPE,BLACK-TAUPE-GOLD-CHARCOAL,SCALLOPED-SEQUINED,,no,no,,,,
Beaded Shorts,SH4169,Womens Apparel,Shorts,Basix Black Label,2011-11-13,285,0,145,Beaded Shorts,SILVER,BLACK-SILVER-GOLD,BEADED,Party,,,,,,
Knee Length Beaded Shorts,P5950,Womens Apparel,Shorts,Basix Black Label,,345,0,290,Below Knee Length Fashion Semi Shorts,BLACK,BLACK,BEADED-SHIMMER-SKINNY,,yes,,,,,
Laser Cut Daisy Shorts,SH4170,Womens Apparel,Shorts,Basix Black Label,1969-12-31,290,0,145,Laser cut Shorts with daisy flower motif,WHITE,WHITE-BLACK,CRYSTAL-FLOWER,,,,,,,
Lace Trim Beaded Shorts,SH5954,Womens Apparel,Shorts,Basix Black Label,2012-01-03,300,0,150,Lace trim beaded shorts,BLACK,SILVER-BLACK,BEADED-BEADED-LACE-SKINNY,,yes,no,,,,
Animal Motif Sequined Shorts,SH5907,Womens Apparel,Shorts,Basix Black Label,2012-01-03,290,0,145,Sequined shorts with animal print design and bronze patina,ANIMAL,ANIMAL,SEQUINED-LACE-SKINNY,,yes,,,,,
SH5955,SH5955,Womens Apparel,Shorts,Basix Black Label,,290,0,0,Beaded shorts with laser cut flower motif on waist,BLACK,BLACK,,,yes,,,,,
Laser Cut Daisy Short By Basix,SH5949,Womens Apparel,Shorts,Basix Black Label,,290,0,145,Laser cuts short shorts with flower motif and crystal accent on center,CHARCOAL,CHARCOAL-WHITE,,,,,,,,
SH5783,SH5783,Womens Apparel,Shorts,Basix Black Label,2012-09-30,316,0,158,SH5783,BLACK,SILVER-TAUPE-BLACK-NAVY,,,no,no,,,,
