Product Name,Product Number,Category Name,SubCategory Name,Designer,Product Date,Catalogue Price,Retail Price,Wholesale Price,Product Description,Primary Image Color,Colors,Styles,Events,New Arrival,Clearance,Pre Order,Unpublish,Materials,Trends
Print Sheath Dress With Pockets,448,Womens Apparel,Cocktail Dresses ,Issue New York,2011-10-15,165,258,125,Geometric  Print Sheath Dress With Functional Pockets,GRAY,GRAY,ONE PIECE-PRINT-SHEATH-SLEEVELESS,,,yes,,,,
GLD1150,GLD1150,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,255,0,125,Cocktail Dress,GOLD,GOLD,,,,,,Y,,
Ostrich Feather Strapless Dress,SM801,Womens Apparel,Cocktail Dresses ,Issue New York,2011-10-15,318,0,0,Ostrich Feather Strapless Dress,WHITE,White,Feathers-Sleeveless-Strapless,Christmas-Daytime-Formal-Graduation-Homecoming-New Year-Party-Valentines,,,,,,
Crystal Cocktail Dress,SM825,Womens Apparel,Cocktail Dresses ,Issue New York,2011-10-15,338,0,0,Crystal Mirror Effect with Sequin Foundation Over Fully Line Sheath,IVORY,Black-Grey-White,Feathers-Sleeveless-Strapless,Christmas-Formal-Graduation-Homecoming-New Year-Party-Prom-Valentines-Wedding,,,,,,
ZD0061,ZD0061,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,275,0,135,Cocktail Dress,BLACK,BLACK,,,,,,,,
2105057,2105057,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,595,0,295,Cocktail Dress,WHITE,WHITE,,,yes,,,,,
GLD11131,GLD11131,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,275,0,135,Cocktail Dress,BLACK,BLACK-BLUSH,,,,,,Y,,
DB001,DB001,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,235,0,115,Cocktail Dress,FUCHSIA,FUCHSIA-RED-BLACK,,,,,,Y,,
D222A By Issue ,D222A,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,195,0,115,Cocktail Dress,LEOPARD,LEOPARD-GOLD,LONG SLEEVE-METALLIC-PLUNGE-SHIMMER,,,,,,,
JT-X0722,JT-X0722,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,335,0,165,Cocktail Dress,FUCHSIA,FUCHSIA,LONG SLEEVE-SEQUINED,,,,,,,
DB002,DB002,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,235,0,115,Cocktail Dress,BLACK,BLACK-RED,,,,,,Y,,
D0784,D0784,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,315,0,155,Cocktail Dress,ROYAL,ROYAL-RASPBERRY-IVORY-CHARCOAL-EGGPLANT-BLACK,STRAPLESS,,,,,Y,,
2105051-1,2105051-1,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,395,0,195,Cocktail Dress,BLACK,BLACK,,,,,,Y,,
D0639SQ,D0639SQ,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,335,0,170,Cocktail Dress,SILVER,SILVER-GUNMETAL,,,,,,,,
1022,1022,Womens Apparel,Cocktail Dresses ,Issue New York,2011-10-15,298,0,0,1022,BLACK,Black,Feathers-Sleeveless-Strapless,,,yes,,Y,,
3452,3452,Womens Apparel,Cocktail Dresses ,Issue New York,,255,0,0,3452,GRAY,GRAY,FEATHERS-SLEEVELESS-STRAPLESS,,,yes,,,,
80056,80056,Womens Apparel,Cocktail Dresses ,Issue New York,2011-10-15,255,0,0,80056,FUCHSIA,FUCHSIA,Feathers-Sleeveless-Strapless,,,yes,,Y,,
186335,186335,Womens Apparel,Cocktail Dresses ,Issue New York,2011-08-23,255,0,0,186335,BLACK,Black,Feathers-Sleeveless-Strapless,,,yes,,Y,,
856033,856033,Womens Apparel,Cocktail Dresses ,Issue New York,2011-10-15,255,0,0,856033,BLACK,Black,Feathers-Sleeveless-Strapless,,,yes,,Y,,
Ostrich Feather Cocktail Dress,2105001,Womens Apparel,Cocktail Dresses ,Issue New York,1969-12-31,435,495,225,Ostrich Feathered Cocktail Dress With Crystal Bead and Sequin Accents,BLACK,WHITE-BLUSH-BLACK-BLUSH
