Product Name,Product Number,Category Name,SubCategory Name,Designer,Product Date,Catalogue Price,Retail Price,Wholesale Price,Product Description,Primary Image Color,Colors,Styles,Events,New Arrival,Clearance,Pre Order,Unpublish,Materials,Trends
3004-S,3004-S,Womens Apparel,Swimwear,Olavida Swimwear,2011-08-17,175,0,0,swimwear,TEAL,BLACK-TEAL,HALTER-ONE PIECE,,no,no,,,,
3003,3003,Womens Apparel,Swimwear,Olavida Swimwear,2011-08-17,175,0,0,swimwear,ZEBRA,-ZEBRA,ONE PIECE-STRAPLESS,,no,no,,,,
3002-M,3002-M,Womens Apparel,Swimwear,Olavida Swimwear,2011-08-17,175,0,0,swimwear,FUCHSIA,-FUCHSIA,ONE PIECE-STRAPLESS,,no,no,,,,
1006-3001,1006-3001,Womens Apparel,Swimwear,Olavida Swimwear,2011-08-17,175,0,0,swimwear,TEAL,-TEAL,HALTER-ONE PIECE-TWO PIECE,,no,no,,,,
1005-3002,1005-3002,Womens Apparel,Swimwear,Olavida Swimwear,2011-08-17,175,0,0,swimwear,MULTI,-MULTI,ONE PIECE-STRAPLESS-TWO PIECE,,no,no,,,,
1005-3001-1,1005-3001-1,Womens Apparel,Swimwear,Olavida Swimwear,2011-08-17,175,0,0,swimwear,ZEBRA,-ZEBRA-GRAY,ONE PIECE-STRAPLESS-TWO PIECE,,no,no,,,,
1004-3001,1004-3001,Womens Apparel,Swimwear,Olavida Swimwear,2011-08-17,175,0,0,swimwear,ORANGE,ORANGE,HALTER-ONE PIECE-TWO PIECE,,no,no,,,,
1004-3001-S,1004-3001-S,Womens Apparel,Swimwear,Olavida Swimwear,2011-08-17,175,0,0,swimwear,FUCHSIA,-FUCHSIA,HALTER-ONE PIECE-TWO PIECE,,no,no,,,,
1003-S-3001-S,1003-S-3001-S,Womens Apparel,Swimwear,Olavida Swimwear,2011-08-17,175,0,0,swimwear,WHITE,-WHITE,HALTER-ONE PIECE-TWO PIECE,,no,no,,,,
1003-M-3001-114M,1003-M-3001-114M,Womens Apparel,Swimwear,Olavida Swimwear,2011-08-17,175,0,0,swimwear,ORANGE,-ORANGE,HALTER-ONE PIECE-TWO PIECE,,no,no,,,,
3010,3010,Womens Apparel,Swimwear,Olavida Swimwear,2011-08-17,185,0,0,Swimwear,WHITE,WHITE-GRAY,Halter neck-One piece-Two piece,,,,,,,
